ENTERED CLICK. Action:click, Val:привіт, Code:5
ENTERED CLICK. Action:click, Val:привіт, Code:5
ENTERED CLICK. Action:click, Val:привіт, Code:5
ENTERED CLICK. Action:click, Val:привіт, Code:5
ENTERED CLICK. Action:click, Val:привіт, Code:5
ENTERED CLICK. Action:click, Val:привіт, Code:5
ENTERED CLICK. Action:click, Val:привіт, Code:5
ENTERED CLICK. Action:click, Val:, Code:-1
ENTERED CLICK. Action:click, Val:/start, Code:5
ENTERED CLICK. Action:click, Val:, Code:-1
ENTERED CLICK. Action:click, Val:, Code:4
ENTERED CLICK. Action:click, Val:, Code:1
ENTERED CLICK. Action:click, Val:, Code:-1
ENTERED CLICK. Action:click, Val:, Code:1
ENTERED CLICK. Action:click, Val:, Code:-1
ENTERED CLICK. Action:click, Val:, Code:3
ENTERED CLICK. Action:click, Val:, Code:2
ENTERED CLICK. Action:click, Val:, Code:3
ENTERED CLICK. Action:click, Val:, Code:1
ENTERED CLICK. Action:click, Val:, Code:1
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:, Code:-1
ENTERED CLICK. Action:click, Val:, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
ENTERED CLICK. Action:click, Val:/start, Code:2
